,tweet_id,favorite_count,retweet_count,created_at,source,retweeted_status,url
707,783391753726550016,18020,6025,Tue Oct 04 19:42:03 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BO936YdJdi
708,783347506784731136,0,6135,Tue Oct 04 16:46:14 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
709,783334639985389568,31254,12824,Tue Oct 04 15:55:06 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/nfprKAXqwu
710,783085703974514689,8694,2432,Mon Oct 03 23:25:55 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/IsqyvbjFgM
711,782969140009107456,25776,8049,Mon Oct 03 15:42:44 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/vOBV1ZqVcX
712,782747134529531904,7977,1526,Mon Oct 03 01:00:34 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/C6fUMnHt1H
713,782722598790725632,18470,5907,Sun Oct 02 23:23:04 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/zrMVdfFej6
714,782598640137187329,8305,2047,Sun Oct 02 15:10:30 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/BIUchFwHqn
715,782305867769217024,17813,6102,Sat Oct 01 19:47:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/pgVKxRw0s1
716,782021823840026624,0,6834,Sat Oct 01 00:58:26 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
717,781955203444699136,11873,3682,Fri Sep 30 20:33:43 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/3eXbCXZXXT
718,781661882474196992,11154,2965,Fri Sep 30 01:08:10 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ELqelxWMrC
719,781655249211752448,4278,1229,Fri Sep 30 00:41:48 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/LOKrNo0OM7
720,781524693396357120,22167,6063,Thu Sep 29 16:03:01 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/ya7bviQUUf
721,781308096455073793,7604,2786,Thu Sep 29 01:42:20 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/WQvcPEpH2u
722,781251288990355457,9009,2297,Wed Sep 28 21:56:36 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/xIYsa6LPA4
723,781163403222056960,10425,2990,Wed Sep 28 16:07:23 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/YkHc7U7uUy
724,780931614150983680,23115,8027,Wed Sep 28 00:46:20 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/5dUYOu4b8d
725,780858289093574656,7683,2186,Tue Sep 27 19:54:58 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/Ar4T1lFM5C
726,780800785462489090,5876,1417,Tue Sep 27 16:06:28 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/KQzSR8eCsw
727,780601303617732608,12911,3640,Tue Sep 27 02:53:48 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/mH0IOyFdIG
728,780543529827336192,6730,1896,Mon Sep 26 23:04:13 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/VG095mi09Q
729,780496263422808064,0,4058,Mon Sep 26 19:56:24 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
730,780476555013349377,0,127,Mon Sep 26 18:38:05 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
731,780459368902959104,5644,1169,Mon Sep 26 17:29:48 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/coi4l1T2Sm
732,780192070812196864,9295,2442,Sun Sep 25 23:47:39 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/zHIqpM5Gni
733,780092040432480260,0,2514,Sun Sep 25 17:10:10 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
734,780074436359819264,13078,5452,Sun Sep 25 16:00:13 +0000 2016,Vine - Make a Scene,Original tweet,https://t.co/dVm5Hgdpeb
735,779834332596887552,20275,7753,Sun Sep 25 00:06:08 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/x0gV2Ck3AD
736,779377524342161408,9411,3399,Fri Sep 23 17:50:56 +0000 2016,Twitter for iPhone,Original tweet,https://t.co/KsqaIzlQ12
737,779124354206535695,0,20122,Fri Sep 23 01:04:56 +0000 2016,Twitter for iPhone,This is a retweet,This is a retweet
